Country,HPI Rank,"Average Life 
Expectancy","Average Wellbeing
(0-10)",Happy Life Years,"Footprint
(gha/capita)",Inequality of Outcomes (%),Inequality-adjusted Life Expectancy,Inequality-adjusted Wellbeing,Happy Planet Index
Afghanistan,110,59.7,3.8,12.4,0.8,43,38.3,3.4,20.2
Albania,13,77.3,5.5,34.4,2.2,17,69.7,5.1,36.8
Algeria,30,74.3,5.6,30.5,2.1,24,60.5,5.2,33.3
Argentina,19,75.9,6.5,40.2,3.1,16,68.3,6,35.2
Armenia,73,74.4,4.3,24,2.2,22,66.9,3.7,25.7
Australia,105,82.1,7.2,53.1,9.3,8,78.6,6.9,21.2
Austria,43,81,7.4,54.4,6.1,7,78,7.1,30.5
Bangladesh,8,70.8,4.7,23.3,0.7,27,56.6,4.3,38.4
Belarus,102,70.9,5.7,34,5.1,13,66.7,5.3,21.7
Belgium,87,80.4,6.9,49.5,7.4,9,77.2,6.6,23.7
Belize,27,69.8,6.1,34.2,2.5,18,61.7,5.7,33.8
Benin,137,59.2,3.2,9.9,1.4,44,37.3,2.8,13.4
Bhutan,56,68.7,5.6,27.4,2.3,27,54.5,5.2,28.6
Bolivia,92,67.5,6,25.6,3,35,47.9,5.5,23.3
Bosnia and Herzegovina,76,76.2,4.8,28.6,3.1,19,71.1,4.2,25.3
Botswana,126,64.2,4.8,21.3,3.8,28,50.8,4.3,16.6
Brazil,23,73.9,6.9,39,3.1,22,63.3,6.3,34.3
Bulgaria,109,73.9,4.2,24,3.3,19,68.1,3.7,20.4
Burkina Faso,119,58,4,12.6,1.2,43,36.5,3.6,17.9
Burundi,131,55.8,3.4,9.5,0.8,48,33,3,15.6
Cambodia,74,67.5,3.9,18.2,1.2,28,54.2,3.5,25.6
Cameroon,124,54.6,4.2,11.6,1.2,47,33.1,3.7,16.7
Canada,85,81.7,7.4,53.9,8.2,9,77.8,7.1,23.9
Chad,140,50.8,4,9.6,1.5,51,27.3,3.7,12.8
Chile,35,81.1,6.6,44.7,4.4,14,74.9,6.1,31.7
China,72,75.4,5.1,30.6,3.4,17,68.6,4.6,25.7
Colombia,3,73.7,6.4,35.1,1.9,24,63.1,5.7,40.7
Comoros,93,62.6,4,15.4,1,36,43.3,3.7,23.1
Costa Rica,1,79.1,7.3,48.2,2.8,15,72.6,6.8,44.7
Cote d'Ivoire,135,50.8,3.8,10.3,1.3,45,30.6,3.5,14.4
Croatia,47,77,6,39.6,3.9,12,73.5,5.5,30.2
Cyprus,41,79.8,6.2,42.3,4.2,12,76.6,5.7,30.7
Czech Republic,64,78.2,6.3,43.4,5.2,9,75.5,5.9,27.3
Denmark,32,79.8,7.5,54.4,5.5,7,76.8,7.2,32.7
Djibouti,127,61.3,4.4,15.1,2.2,42,41.4,3.8,16.4
Dominican Republic,45,73.1,4.8,23.7,1.5,30,60.8,4.1,30.3
Ecuador,10,75.4,6,34.3,2.2,22,64.1,5.5,37
Egypt,86,70.7,4.2,21.8,2.2,23,61.3,3.7,23.8
El Salvador,17,72.5,5.9,32.2,2.1,22,62.5,5.3,35.6
Estonia,118,76.2,5.4,35,6.9,12,72.6,5,17.9
Ethiopia,66,62.8,4.6,17.8,1,36,43.8,4.2,26.7
